edges,d1,d2
67600,33788,56406
67700,31942,53766
67800,33466,54654
67900,32817,54369
68000,33939,53831
68100,32830,52498
68200,31201,54084
68300,32008,53185
68400,35758,55825
68500,34542,61614
68600,35947,55012
68700,34594,56602
68800,31917,57541
68900,33294,58505
69000,31367,52895
69100,37583,56905
69200,32124,60734
69300,32696,60125
69400,35353,55909
69500,36569,54013
69600,32528,53423
69700,34026,54741
69800,34298,57977
69900,35242,54600
70000,34399,56358
70100,33213,57528
70200,32560,57308
70300,29352,54817
70400,32931,60083
70500,35705,64666
70600,35044,54524
70700,34680,59153
70800,33384,58178
70900,32126,59728
71000,37505,62203
71100,34003,62602
71200,38925,60209
71300,35444,55786
71400,36563,62429
71500,31125,57438
71600,37098,56383
71700,36541,57888
71800,38003,61978
71900,35014,57256
72000,33361,57563
72100,32910,56727
72200,33505,55188
72300,37262,54737
72400,36286,58806
72500,32396,51736
72600,37540,62039
72700,39000,54665
72800,36746,59589
72900,31264,54236
73000,33754,56622
73100,36169,56546
73200,33045,58827
73300,32142,53656
73400,33480,56804
73500,32946,58213
73600,33084,54251
73700,31825,52680
73800,29425,51851
73900,32789,57489
74000,33241,54807
74100,34161,49733
74200,31378,54533
74300,32807,55585
74400,35570,52433
74500,35022,54616
74600,32627,58321
74700,32084,54772
74800,33408,59958
74900,32878,49401
75000,32609,49281
75100,30451,52453
75200,35947,63611
75300,29181,51897
75400,35154,53878
75500,30637,47869
75600,32305,53810
75700,31820,53354
75800,34981,51186
75900,33777,51944
76000,36770,51516
76100,38179,51911
76200,37603,56301
76300,34577,54460
76400,31542,54494
76500,35332,49026
76600,36772,56230
76700,31933,58944
76800,39062,54748
76900,30019,51723
77000,33711,50841
77100,28796,55038
77200,34025,52465
77300,36912,50917
77400,34921,50564
77500,28088,54957
77600,31903,55459
77700,38427,57932
77800,31747,51556
77900,35332,51006
78000,26424,47521
78100,32937,51210
78200,31988,50900
78300,31614,51042
78400,28370,47425
78500,35494,53856
78600,31683,48401
78700,32359,48516
78800,28926,44146
78900,31226,52351
79000,31348,44242
79100,35309,49286
79200,37963,47450
79300,30146,48474
79400,29924,50823
79500,34751,48313
79600,29648,42430
79700,29250,46505
79800,31824,52504
79900,26702,50960
80000,31216,49607
80100,30214,50642
80200,30289,49318
80300,32958,48362
80400,33243,50882
80500,33607,51519
80600,33473,51703
80700,27202,46553
80800,26689,45599
80900,37048,53684
81000,33002,47712
81100,31120,47724
81200,29849,50202
81300,29047,47471
81400,33581,48485
81500,30606,48446
81600,29766,46970
81700,29018,41569
81800,29292,49133
81900,30337,49038
82000,31610,48397
82100,25978,40549
82200,29590,45545
82300,31531,47076
82400,31354,46187
82500,35450,54213
82600,32949,50023
82700,32601,47956
82800,30508,51150
82900,35593,55366
83000,35224,50874
83100,29947,47170
83200,31497,56245
83300,30598,48148
83400,32211,47957
83500,30575,45144
83600,27193,47231
83700,31879,41425
83800,31455,42851
83900,26731,43561
84000,26253,46128
84100,27156,42158
84200,35405,46895
84300,29469,49698
84400,26568,48347
84500,29555,49043
84600,30119,49013
84700,25798,45015
84800,31689,55117
84900,34614,48055
85000,33211,45557
85100,27998,45474
85200,30353,47168
85300,25109,43686
85400,28872,45544
85500,31527,40106
85600,30916,46696
85700,33026,53554
85800,35928,52531
85900,30596,41176
86000,31826,49591
86100,36000,50650
86200,30916,49499
86300,26498,44481
86400,30434,43807
86500,29773,42026
86600,28573,44914
86700,29277,48960
86800,31341,50499
86900,28702,47327
87000,32932,51828
87100,28966,42173
87200,27456,45029
87300,25204,38996
87400,28325,40015
87500,35739,54561
87600,26685,49213
87700,36139,51274
87800,30907,39221
87900,33629,56473
88000,34998,57074
88100,31002,47959
88200,26594,45841
88300,26307,48617
88400,30422,52281
88500,28279,46845
88600,21608,44010
88700,35790,59132
88800,31288,49974
88900,34198,52957
89000,36143,52272
89100,30091,51020
89200,29227,38383
89300,23170,40097
89400,31602,45190
89500,31122,49248
89600,25562,43366
89700,30032,39810
89800,28828,51921
89900,28241,52062
90000,32158,48102
90100,29226,47009
90200,30715,51194
90300,28733,49271
90400,28506,36619
90500,30063,45270
90600,32180,53442
90700,27099,42462
90800,31116,44202
90900,33364,45749
91000,27994,44520
91100,26247,40977
91200,27870,44108
91300,28143,46083
91400,34249,47484
91500,27313,44665
91600,30233,46457
91700,29251,47867
91800,28803,50183
91900,29353,44886
92000,21906,40284
92100,34720,53470
92200,33293,59782
92300,31810,59738
92400,32603,55298
92500,29833,43986
92600,30757,43841
92700,29118,46235
92800,31037,55228
92900,31015,57440
93000,32456,50909
93100,31533,52316
93200,31679,47654
93300,28809,51641
93400,28015,47024
93500,25326,45857
93600,28559,46289
93700,28427,43609
93800,26983,50476
93900,29465,44921
94000,27849,41391
94100,26532,48037
94200,29050,38340
94300,29223,44017
94400,31165,44989
94500,24752,42216
94600,30021,49428
94700,28030,44417
94800,30183,48710
94900,28189,45579
95000,24007,46243
95100,34433,51019
95200,28799,51238
95300,29018,43104
95400,28205,49771
95500,29347,42792
95600,30076,48226
95700,27886,36268
95800,30589,44819
95900,27151,39294
96000,30944,43241
96100,29245,47243
96200,33010,52420
96300,27028,47391
96400,29855,41136
96500,25375,38162
96600,26549,46284
96700,28576,48336
96800,24443,37409
96900,26317,41404
97000,26532,42034
97100,27367,43442
97200,24321,37994
97300,24022,37884
97400,25823,43886
97500,26445,45284
97600,22371,41766
97700,31483,44984
97800,27315,43891
97900,36342,54720
98000,34385,49247
98100,25700,46884
98200,23229,45660
98300,31807,51159
98400,25867,39123
98500,23368,42300
98600,25564,36234
98700,31488,43393
98800,26140,42270
98900,25384,47164
99000,27777,49333
99100,35298,57393
99200,36272,55950
99300,33832,58868
99400,25869,38275
99500,26932,48658
99600,23428,43886
99700,32308,49436
99800,25376,43210
99900,25183,41120
100000,26596,43994
100100,27563,43726
100200,31282,41094
100300,24520,40359
100400,24843,48384
100500,25796,43419
100600,24057,46017
100700,31255,47084
100800,25746,41030
100900,25722,51952
101000,26744,40254
101100,23824,41653
101200,32957,46575
101300,32621,45423
101400,34996,53431
101500,31991,51632
101600,32326,53533
101700,35122,49924
101800,29373,47655
101900,27444,44737
102000,29013,47143
102100,35962,54662
102200,37376,52605
102300,38170,55908
102400,33789,50836
102500,41354,56072
102600,27419,48178
102700,30744,47607
102800,36268,52686
102900,30676,44103
103000,30494,48538
103100,35511,54505
103200,35301,50886
103300,32638,49864
103400,50808,64243
103500,49305,74575
103600,34292,49560
103700,32795,55409
103800,39754,56617
103900,39344,46771
104000,37883,52779
104100,50087,67789
104200,42285,61054
104300,32314,50569
104400,33615,47759
104500,39571,49262
104600,36749,56704
104700,36259,49941
104800,32168,43160
104900,29590,48787
105000,38733,55268
105100,37037,52711
105200,34344,51380
105300,42703,52628
105400,38565,58886
105500,37714,50355
105600,37882,49526
105700,27516,48570
105800,29882,49154
105900,43935,62571
106000,45548,65745
106100,40618,59290
106200,42133,51035
106300,37069,57873
106400,30753,48209
106500,37287,46250
106600,36626,41945
106700,34882,48367
106800,30285,55594
106900,33813,49268
107000,37084,51846
107100,37975,61585
107200,31987,48545
107300,37528,47830
107400,33986,45933
107500,33828,54283
107600,30839,50584
107700,27096,55589
107800,43100,55198
107900,38368,58204
108000,36307,54348
108100,35055,59189
108200,45733,67312
108300,45648,68315
108400,39761,61270
108500,36153,54614
108600,35015,49466
108700,27853,50780
108800,33889,56552
108900,35447,52322
109000,34568,59380
109100,31190,50405
109200,32906,44886
109300,38311,53076
109400,34405,53242
109500,37036,57406
109600,41858,58072
109700,33474,51122
109800,42432,61164
109900,39673,52831
110000,35870,56043
110100,41908,60274
110200,32378,52180
110300,42261,57092
110400,54373,74202
110500,47702,69731
110600,50157,72961
110700,50517,62095
110800,39676,54240
110900,30040,45680
111000,31771,55677
111100,35929,52289
111200,32449,52707
111300,41727,64105
111400,33530,57844
111500,37164,53517
111600,33955,62233
111700,42276,55600
111800,39105,54534
111900,37774,54589
112000,35448,50663
112100,34003,63689
112200,33772,54120
112300,34400,53718
112400,34267,57946
112500,34747,65976
112600,35652,58128
112700,53855,71497
112800,35054,58165
112900,35585,58260
113000,31859,53440
113100,34240,56019
113200,35457,61539
113300,36306,62219
113400,40669,53633
113500,37801,52973
113600,36061,60913
113700,35023,65562
113800,33719,56780
113900,33412,54977
114000,31616,50337
114100,35258,51412
114200,31894,48560
114300,36177,54001
114400,34598,51887
114500,33797,50094
114600,34184,50521
114700,35731,48700
114800,35813,51125
114900,32409,50158
115000,34825,53692
115100,31821,57885
115200,33427,49823
115300,35587,52102
115400,36346,56230
115500,38283,55677
115600,36106,50018
115700,36661,55327
115800,36021,53489
115900,36552,54973
116000,39634,59084
116100,38365,56886
116200,32925,53278
116300,31821,56345
116400,35181,54571
116500,36114,51178
116600,38519,56194
116700,32999,56603
116800,35714,57006
116900,33345,55352
117000,36251,59281
117100,35614,53418
117200,36539,55790
117300,43826,61283
117400,38177,51092
117500,38044,58968
117600,39866,63625
117700,38164,61683
117800,38886,58171
117900,39612,57271
118000,35318,61018
118100,35941,60206
118200,37543,60624
118300,37695,58211
118400,39529,63597
118500,36803,59873
118600,38473,58304
118700,37057,57739
118800,41418,62629
118900,38288,57131
119000,40445,63704
119100,38202,59166
119200,41664,63520
119300,36336,60515
119400,39499,59825
119500,38684,53621
119600,32521,52199
119700,40539,55294
119800,38018,61016
119900,30187,53604
120000,40414,62162
120100,41840,56375
120200,37034,55263
120300,40203,62025
120400,32854,49304
120500,33118,56960
120600,34759,55877
120700,33305,56519
120800,36792,52654
120900,38710,62006
121000,38884,60558
121100,37651,55354
121200,34770,56214
121300,36127,62295
121400,35440,66139
121500,35267,58776
121600,30025,52305
121700,37174,56956
121800,30632,54068
121900,35740,56457
122000,25176,52253
122100,36670,58599
122200,39188,56334
122300,35235,66165
122400,43453,60033
122500,35213,59464
122600,40446,56294
122700,41854,55742
122800,41935,59511
122900,38387,63731
123000,38612,58912
123100,42700,61311
123200,37044,54927
123300,35062,61807
123400,36728,60443
123500,42548,56018
123600,38589,53597
123700,36739,59969
123800,35446,57352
123900,35833,57084
124000,38684,61533
124100,36970,60123
124200,39741,55490
124300,41568,54068
124400,40271,60411
124500,37195,55779
124600,40214,58158
124700,38087,58011
